SERIAL,YUEHUO08,weight,,,
5,1,0.000188857,0.82152795,,
6,1,0.000188857,0.82152795,,
10,1,0.000188857,0.82152795,,
11,1,0.000188857,0.82152795,,0.935632184
12,1,0.000188857,0.82152795,,
15,1,0.000188857,0.82152795,,
16,1,0.000188857,0.82152795,,
17,1,0.000188857,0.82152795,,
20,1,0.000188857,0.82152795,,
21,1,0.000188857,0.82152795,,
25,1,0.000188857,0.82152795,,
26,1,0.000188857,0.82152795,,
27,1,0.000188857,0.82152795,,
28,1,0.000188857,0.82152795,,
29,1,0.000188857,0.82152795,,
32,1,0.000188857,0.82152795,,
33,1,0.000188857,0.82152795,,
37,1,0.000188857,0.82152795,,
38,1,0.000188857,0.82152795,,
41,0,0.000229885,,,
47,1,0.000188857,0.82152795,,
52,1,0.000188857,0.82152795,,
53,1,0.000188857,0.82152795,,
55,1,0.000188857,0.82152795,,
57,1,0.000188857,0.82152795,,
58,1,0.000188857,0.82152795,,
62,0,0.000229885,,,
63,1,0.000188857,0.82152795,,
65,1,0.000188857,0.82152795,,
67,1,0.000188857,0.82152795,,
71,1,0.000188857,0.82152795,,
73,1,0.000188857,0.82152795,,
78,1,0.000188857,0.82152795,,
81,1,0.000188857,0.82152795,,
83,1,0.000188857,0.82152795,,
84,1,0.000188857,0.82152795,,
86,1,0.000188857,0.82152795,,
87,1,0.000188857,0.82152795,,
91,1,0.000188857,0.82152795,,
99,0,0.000229885,,,
102,1,0.000188857,0.82152795,,
106,1,0.000188857,0.82152795,,
108,1,0.000188857,0.82152795,,
117,1,0.000188857,0.82152795,,
118,1,0.000188857,0.82152795,,
120,1,0.000188857,0.82152795,,
121,1,0.000188857,0.82152795,,
125,1,0.000188857,0.82152795,,
126,1,0.000188857,0.82152795,,
128,1,0.000188857,0.82152795,,
131,2,0.001621418,,,
132,1,0.000188857,0.82152795,,
134,1,0.000188857,0.82152795,,
137,1,0.000188857,0.82152795,,
138,1,0.000188857,0.82152795,,
140,1,0.000188857,0.82152795,,
141,1,0.000188857,0.82152795,,
144,1,0.000188857,0.82152795,,
150,1,0.000188857,0.82152795,,
151,1,0.000188857,0.82152795,,
152,1,0.000188857,0.82152795,,
155,1,0.000188857,0.82152795,,
