resNo,userID,A2_99,A2_1,A2_2,A2_3,A2_4,A2_5,A2_6,A2_7,A2_998,A2_999,B3_99,B3_1,B3_2,B3_4,B3_6,B3_7,B3_8,B3_9,B3_10,B3_998,B3_999,C1.1_1,C1.1_2,C1.1_3,C1.1_4,C1.1_5,C1.1_6,C1.1_7,C1.1_8,C1.1_9,C1.1_10,C1.1_11,C1.1_12,C1.1_13,C1.1_14,C1.1_15,C1.1_16,C1.1_17,C1.1_18,C1.1_19,C1.1_20,C1.1_21,C1.1_22,C1.1_23,C1.1_24,C1.1_25,C1.1_26,C1.1_99,C1.2_1,C1.2_2,C1.2_3,C1.2_4,C1.2_5,C1.2_6,C1.2_7,C1.2_8,C1.2_9,C1.2_10,C1.2_11,C1.2_12,C1.2_13,C1.2_14,C1.2_15,C1.2_16,C1.2_17,C1.2_18,C1.2_19,C1.2_20,C1.2_21,C1.2_22,C1.2_23,C1.2_24,C1.2_25,C1.2_26,C1.2_99,C1.3_1,C1.3_2,C1.3_3,C1.3_4,C1.3_5,C1.3_6,C1.3_7,C1.3_8,C1.3_9,C1.3_10,C1.3_11,C1.3_12,C1.3_13,C1.3_14,C1.3_15,C1.3_16,C1.3_17,C1.3_18,C1.3_19,C1.3_20,C1.3_21,C1.3_22,C1.3_23,C1.3_24,C1.3_25,C1.3_26,C1.3_99,C1.4_1,C1.4_2,C1.4_3,C1.4_4,C1.4_5,C1.4_6,C1.4_7,C1.4_8,C1.4_9,C1.4_10,C1.4_11,C1.4_12,C1.4_13,C1.4_14,C1.4_15,C1.4_16,C1.4_17,C1.4_18,C1.4_19,C1.4_20,C1.4_21,C1.4_22,C1.4_23,C1.4_24,C1.4_25,C1.4_26,C1.4_99,C1.5_1,C1.5_2,C1.5_3,C1.5_4,C1.5_5,C1.5_6,C1.5_7,C1.5_8,C1.5_9,C1.5_10,C1.5_11,C1.5_12,C1.5_13,C1.5_14,C1.5_15,C1.5_16,C1.5_17,C1.5_18,C1.5_19,C1.5_20,C1.5_21,C1.5_22,C1.5_23,C1.5_24,C1.5_25,C1.5_26,C1.5_99,C1.6_1,C1.6_2,C1.6_3,C1.6_4,C1.6_5,C1.6_6,C1.6_7,C1.6_8,C1.6_9,C1.6_10,C1.6_11,C1.6_12,C1.6_13,C1.6_14,C1.6_15,C1.6_16,C1.6_17,C1.6_18,C1.6_19,C1.6_20,C1.6_21,C1.6_22,C1.6_23,C1.6_24,C1.6_25,C1.6_26,C1.6_99,C1.7_1,C1.7_2,C1.7_3,C1.7_4,C1.7_5,C1.7_6,C1.7_7,C1.7_8,C1.7_9,C1.7_10,C1.7_11,C1.7_12,C1.7_13,C1.7_14,C1.7_15,C1.7_16,C1.7_17,C1.7_18,C1.7_19,C1.7_20,C1.7_21,C1.7_22,C1.7_23,C1.7_24,C1.7_25,C1.7_26,C1.7_99,C1.8_1,C1.8_2,C1.8_3,C1.8_4,C1.8_5,C1.8_6,C1.8_7,C1.8_8,C1.8_9,C1.8_10,C1.8_11,C1.8_12,C1.8_13,C1.8_14,C1.8_15,C1.8_16,C1.8_17,C1.8_18,C1.8_19,C1.8_20,C1.8_21,C1.8_22,C1.8_23,C1.8_24,C1.8_25,C1.8_26,C1.8_99,C1.9_1,C1.9_2,C1.9_3,C1.9_4,C1.9_5,C1.9_6,C1.9_7,C1.9_8,C1.9_9,C1.9_10,C1.9_11,C1.9_12,C1.9_13,C1.9_14,C1.9_15,C1.9_16,C1.9_17,C1.9_18,C1.9_19,C1.9_20,C1.9_21,C1.9_22,C1.9_23,C1.9_24,C1.9_25,C1.9_26,C1.9_99
1,1OT_MF0TRHUqmK9jMVW8Hw**,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4253364989965312_4254801668125696,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
3,1OT_MF0TRHUJWiEtXVo2Q**,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1OT_MF0TRHUiNtV6OvAPw**,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1OT_MF0TRHUmLKTYfrQ**,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1OT_MF0TRHU1RLgPVjlGRA**,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1OT_MF0TRHU1ZFKLQNxTmQ**,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1OT_MF0TRHU1nk48aoww**,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1OT_MF0TRHU2Q4aBgWyZfQ**,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1OT_MF0TRHU32ASB26mf0A**,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
